Exp #,Population,Nodes,Best Length,Iteration,Gain,Elapsed Time
5,3,60,180,353,11,1.791
5,3,60,170,370,10,2.342
5,3,60,165,385,5,2.066
5,3,60,147,395,18,1.379
5,3,60,143,430,4,4.747
5,3,60,128,445,15,2.027
5,3,60,124,461,4,2.165
5,3,60,121,483,3,2.974
5,3,60,117,518,4,4.750
5,3,60,116,522,1,0.550
5,3,60,107,538,9,2.202
5,3,60,105,570,2,4.402
5,3,60,96,574,9,0.550
5,3,60,91,592,5,2.476
5,3,60,87,599,4,0.964
5,3,60,80,605,7,0.826
5,3,60,79,622,1,2.342
5,3,60,78,634,1,1.652
5,3,60,77,638,1,0.551
5,3,60,76,641,1,0.413
5,3,60,73,650,3,1.240
5,3,60,71,658,2,1.102
5,3,60,68,661,3,0.413
5,3,60,67,800,1,19.133
1,4,10,25,0,0,0.000
1,4,10,21,1,4,0.004
1,4,10,14,2,7,0.001
2,4,10,27,0,0,0.000
2,4,10,21,2,6,0.005
2,4,10,18,3,3,0.002
2,4,10,16,5,2,0.003
2,4,10,15,9,1,0.007
3,4,10,30,0,0,0.000
3,4,10,27,0,3,0.002
3,4,10,24,1,3,0.002
3,4,10,16,2,8,0.001
3,4,10,15,5,1,0.005
3,4,10,12,8,3,0.005
4,4,10,28,0,0,0.000
4,4,10,22,1,6,0.003
4,4,10,17,2,5,0.002
4,4,10,12,3,5,0.001
5,4,10,32,0,0,0.000
5,4,10,26,0,6,0.002
5,4,10,22,1,4,0.001
5,4,10,15,2,7,0.002
5,4,10,14,6,1,0.007
5,4,10,13,7,1,0.001
1,4,30,127,0,0,0.000
1,4,30,119,0,8,0.027
1,4,30,112,2,7,0.054
1,4,30,111,11,1,0.243
1,4,30,90,14,21,0.081
1,4,30,79,18,11,0.108
1,4,30,76,20,3,0.054
1,4,30,64,23,12,0.081
1,4,30,60,26,4,0.082
1,4,30,59,28,1,0.054
1,4,30,55,32,4,0.108
1,4,30,53,33,2,0.027
1,4,30,50,35,3,0.054
1,4,30,49,37,1,0.054
1,4,30,48,44,1,0.189
1,4,30,46,47,2,0.081
1,4,30,45,48,1,0.027
1,4,30,43,61,2,0.350
1,4,30,42,88,1,0.731
2,4,30,115,0,0,0.000
2,4,30,108,0,7,0.027
2,4,30,106,7,2,0.187
2,4,30,87,10,19,0.080
2,4,30,86,15,1,0.134
2,4,30,79,16,7,0.027
2,4,30,66,17,13,0.027
2,4,30,65,21,1,0.107
2,4,30,58,22,7,0.027
2,4,30,55,23,3,0.026
2,4,30,53,28,2,0.133
2,4,30,47,29,6,0.027
2,4,30,45,32,2,0.081
2,4,30,40,36,5,0.107
3,4,30,118,0,0,0.000
3,4,30,112,11,6,0.319
3,4,30,107,14,5,0.081
3,4,30,106,15,1,0.027
3,4,30,104,16,2,0.027
3,4,30,93,17,11,0.026
3,4,30,79,18,14,0.027
3,4,30,72,21,7,0.080
3,4,30,65,25,7,0.107
3,4,30,55,27,10,0.053
3,4,30,53,30,2,0.080
3,4,30,51,42,2,0.320
3,4,30,49,44,2,0.053
3,4,30,48,47,1,0.080
3,4,30,47,49,1,0.053
3,4,30,46,54,1,0.133
3,4,30,44,56,2,0.054
3,4,30,42,68,2,0.320
3,4,30,40,87,2,0.507
4,4,30,112,0,0,0.000
4,4,30,92,1,20,0.054
4,4,30,79,12,13,0.296
4,4,30,71,17,8,0.134
4,4,30,57,19,14,0.055
4,4,30,55,24,2,0.135
4,4,30,51,26,4,0.053
4,4,30,47,33,4,0.190
4,4,30,44,38,3,0.135
5,4,30,122,0,0,0.000
5,4,30,121,3,1,0.106
5,4,30,117,7,4,0.105
5,4,30,110,8,7,0.027
5,4,30,95,9,15,0.026
5,4,30,93,11,2,0.053
5,4,30,88,12,5,0.026
5,4,30,84,17,4,0.132
5,4,30,83,19,1,0.053
5,4,30,74,20,9,0.026
5,4,30,70,21,4,0.026
5,4,30,62,23,8,0.053
5,4,30,61,24,1,0.026
5,4,30,60,25,1,0.026
5,4,30,55,28,5,0.079
5,4,30,49,29,6,0.027
5,4,30,48,34,1,0.131
5,4,30,47,35,1,0.027
5,4,30,46,43,1,0.211
1,4,60,254,0,0,0.000
1,4,60,251,0,3,0.184
1,4,60,241,1,10,0.184
1,4,60,237,15,4,2.579
1,4,60,232,19,5,0.737
1,4,60,230,29,2,1.842
1,4,60,228,46,2,3.134
1,4,60,226,50,2,0.736
1,4,60,223,85,3,6.544
1,4,60,215,90,8,1.693
1,4,60,213,136,2,10.327
1,4,60,206,237,7,19.755
1,4,60,202,251,4,2.598
1,4,60,200,263,2,2.216
1,4,60,195,269,5,1.108
1,4,60,180,284,15,2.771
1,4,60,164,294,16,1.844
1,4,60,157,317,7,4.218
1,4,60,155,323,2,1.091
1,4,60,152,340,3,3.088
1,4,60,148,370,4,5.459
1,4,60,130,374,18,0.748
1,4,60,129,396,1,4.041
1,4,60,122,428,7,5.916
1,4,60,119,475,3,8.680
1,4,60,118,485,1,1.847
1,4,60,99,488,19,0.553
1,4,60,98,570,1,15.132
1,4,60,95,573,3,0.552
1,4,60,94,576,1,0.554
1,4,60,81,578,13,0.368
1,4,60,79,608,2,5.510
1,4,60,74,613,5,0.918
1,4,60,70,652,4,7.090
1,4,60,67,660,3,1.489
1,4,60,66,721,1,11.279
1,4,60,65,752,1,5.851
2,4,60,238,0,0,0.000
2,4,60,235,21,3,3.986
2,4,60,232,31,3,1.804
2,4,60,231,32,1,0.181
2,4,60,230,42,1,1.803
2,4,60,229,119,1,14.059
2,4,60,201,133,28,2.570
2,4,60,190,164,11,5.691
2,4,60,187,181,3,3.122
2,4,60,178,222,9,7.530
2,4,60,161,229,17,1.287
2,4,60,157,242,4,2.387
2,4,60,152,267,5,4.591
